,cardId,Name,Gender,Age,Chapeau,Début texte,cardFilter1Tri,cardFilter3Tri,cardFilter4Tri,cardFilter5Tri,cardFilter6Tri,cardSection5Text,cardSection6Text
11,54,Alain Chuard,male,45 ans,"Fondateur Swisspreneur.org, Palo Alto (Californie)","Depuis qu’il a quitté Google, Alain Chuard soutient le paysage helvétique des start-up. Il sait comment faire pour que ça marche: après tout, en 2012, il a réussi à vendre son entreprise Wildfire pour",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
27,18,Kate Darling,female,36 ans,"Ethicienne en robotique, Massachusetts Institute of Technology MIT, Boston","Elle se qualifie de «maîtresse des machines», a un tatouage sur le bras et donne des conférences avec un profond décolleté et des pantalons moulants en similicuir. Lorsque Kate Darling évoque des suje",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
46,40,Christian Decker,male,33 ans,"Ingénieur logiciel et chercheur chez Blockstream, Zurich","C’est un enthousiaste de la première heure: Christian Decker s’intéresse activement à la monnaie électronique depuis ses balbutiements. «A l’époque, ceux qui croyaient que le bitcoin engendrerait ce g",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
41,36,Marc Degen,male,41 ans,"Cofondateur de Modum.io et de Moflix, Zurich",La start-up Modum.io a développé un système qui rend plus efficace le transport de médicaments. Des capteurs lui permettent de surveiller les influences extérieures sur un colis pendant son expédition,f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
89,88,Paul-Olivier Dehaye,unknown,37 ans,"CEO Personaldata.io, Lausanne",L’organisation à but non lucratif Personaldata.io est la conséquence logique du parcours de Paul-Olivier Dehaye. Son objectif est de sensibiliser un plus grand nombre de personnes à l’importance de la,f-moins-40,,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
53,49,Leila Delarive,female,41 ans,"Cofondatrice et CEO d’Amplify, Lausanne","Leila Delarive recueille des fonds pour les ONG avec une plateforme numérique qui sensibilise et attire l’attention sur les questions humanitaires. Encore en phase bêta, la start-up Amplify devrait vr",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
34,26,Giovanna Di Marzo Serugendo,female,52 ans,"Directrice du Centre universitaire d’informatique, Université de Genève","Dans le monde parfait de Giovanna Di Marzo Serugendo, tous les logiciels fonctionnent seuls. Programmer ou installer, c'est terminé! La professeure à l'Université de Genève est à la pointe de la reche",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
68,65,Daniel Diemers,male,45 ans,"PwC Strategy&, Blockchain Leader EMEA, Zurich","Daniel Diemers joue le médiateur entre deux mondes: d’un côté, les cadres supérieurs des grandes institutions financières et, de l’autre, les innovateurs brillants du monde émergent de la blockchain. ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
81,78,Sabrina Cohen Dumani,female,50 ans,"Fondatrice et directrice générale de la Fondation Nomads, Genève","La Fondation Nomads offre une interface aux entreprises, start-up, étudiants et investisseurs de la région genevoise. L’objectif de la fondation fondée en 2015 est d’offrir un avenir sûr à la prochain",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
63,6,Thomas Dübendorfer,male,43 ans,"Fondateur, président et investisseur providentiel de Swiss ICT Investor Club (SICTIC), Zurich","Fondateur de start-up et investisseur providentiel, Thomas Dübendorfer a déjà fondé ou cofondé neuf entreprises, et vendu certaines d’entre elles avec succès: en 2012, l’application communautaire Spon",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
5,17,Raffaello D’Andrea,male,51 ans,"Institut pour les systèmes dynamiques et les technologies de contrôle, EPFZ",Les chercheurs en robotique inspirent parfois de la sympathie. Ils doivent sans cesse assurer aux sceptiques que les robots ne vont pas s’emparer du monde et qu’il vaut la peine de faire de la recherc,f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
90,89,Petra Ehmann,female,33 ans,"Directrice développement de partenariats commerciaux RA Google, Zurich","Le soutien de son père alors qu’elle commençait à s’intéresser à la nature et à la technologie a été décisif pour son succès, se souvient Petra Ehmann. La googleuse fait aujourd’hui partie des étoiles",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
82,79,Judith Ellens,female,36 ans,"Cofondatrice et responsable scientifique chez Eaternity, Zurich","La protection de l’environnement et du climat est un grand thème à notre époque, mais le public n’est que peu conscient de l’importance de l’alimentation, qui est un facteur essentiel du réchauffement",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
59,56,Francisco Fernandez,male,56 ans,"Fondateur et président du CA Avaloq, Zurich","Fils d’immigrés espagnols, Francisco Fernandez peut se targuer d’avoir déjà dompté une licorne en Suisse. Avaloq vaut nettement plus d’un milliard de francs, dit-on à propos de ce producteur de logici",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
96,95,Björn Flückiger,male,29 ans,"Responsable du desk fintech à la Finma, Berne","Björn Flückiger est très demandé au sein de l’Autorité de surveillance du marché financier suisse (Finma) comme chef du desk fintech. Avec le battage médiatique autour de la blockchain, des monnaies c",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
38,33,Karmen Franinovic,female,42 ans,"Directrice d’Interaction Design, Zurich","Karmen Franinovic s’est fait un nom grâce à ses recherches dans le domaine de l’interaction sonore, un secteur qui gagne en importance dans l’industrie technologique: combiner le son et le geste dans ",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
37,31,Thomas Frey,male,37 ans,"Fondateur de Giants Software, Zurich","Avec sa société de développement de jeux Giants Software à Schlieren, Thomas Frey prouve que les développeurs suisses peuvent jouer sur le marché mondial: son «simulateur agricole» est un blockbuster,",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
24,14,Alexander Fries,male,51 ans,"General Partner Alpana Ventures, San Matteo, Etats-Unis","Le Grison Alexander Fries vit depuis vingt-deux ans dans la Silicon Valley (avec 3 interruptions). Il y est actif comme fondateur de start-up (SVOX, PlaySpan, entre-temps revendues) et comme investiss",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
6,19,Luca Maria Gambardella,male,56 ans,"Directeur de l’Institut Dalle Maolle d’études sur l’intelligence artificielle, Lugano","Luca Maria Gambardella est le résolveur de problème par excellence. Qu’il s’agisse du «problème du voyageur de commerce», du «problème de la mission quadratique» ou de celui «d’optimisation d’une cell",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
45,4,Jörg Gasser ,male,49 ans,"Secrétariat d'Etat aux questions financières internationales, Berne","L’objectif du secrétaire d’Etat Jörg Gasser est clair: il souhaite que la Suisse continue à disposer d'une place financière diversifiée, performante et propre, une place financière dans laquelle les i",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
0,22,Solange Ghernaouti,female,59 ans,"Professeure de cybersécurité, Université de Lausanne","L’efficacité académique fonctionne ainsi: le profil de Solange Ghernaouti sur le site de l’Université de Lausanne n’indique pas au lecteur ses travaux scientifiques, mais aligne les «mots clés», 25 au",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
20,1,Raphaël Gindrat,male,30 ans,Cofondateur et CEO de Bestmile,"En 2018, Bestmile a été nommé pionnier technologique par le Forum économique mondial: avec sa plateforme, la start-up lausannoise permet aux véhicules autonomes de coopérer en tant que flotte. Les bus",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
10,50,Fabio Gramazio,male,48 ans,"Architecte à l’EPFZ, Zurich","Les deux architectes Fabio Gramazio et Matthias Kohler (50 ans) travaillent au futur de l’architecture et veulent élever le design des bâtiments à un niveau supérieur. A l’EPFZ, le duo veut changer, p",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
100,99,Manuel Grenacher,male,37 ans,"Fondateur de Mila et de Coresystems, Windisch (AG)","Ce printemps, Manuel Grenacher a réalisé la plus belle sortie de la scène suisse des start-up depuis bien longtemps: c’est le géant allemand du logiciel SAP qui a repris ses systèmes centraux basés à ",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
39,34,Markus Gross,male,55 ans,"Professeur EPFL d’informatique, doyen du Computer Graphics Laboratory, directeur de Disney Research, Zurich","Markus Gross est le principal producteur d’effets de l’industrie du cinéma. Depuis 2008, il dirige le laboratoire Disney Research à Zurich. Ses œuvres peuvent être vues dans des dizaines d’épopées hol",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
75,72,Daniel Gutenberg,male,52 ans,"Partner VI Partners, Zoug (A Vérifier!!!!)","«Mon hobby consiste à trouver des licornes lorsqu’elles comptent encore moins de 10 employés», explique Daniel Gutenberg. Et il a du succès: il a été impliqué très tôt dans Netscape avec sa société d’",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
78,75,Stefan Heitmann,male,41 ans,"CEO et fondateur de MoneyPark, Pfäffikon (SZ)","Stefan Heitmann a commencé sa carrière comme dans un conte: en 2012, le diplômé en droit et économiste a fondé MoneyPark. Après quatre ans de dur labeur, il a vendu la majorité à l’assureur Helvetia. ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
87,86,Oliver Herren,male,39 ans,"CIO Digitec, fondateur de True Wealth, Zurich",Le commerce en ligne et la gestion de fortune sont étroitement liés dans la vie d’Oliver Herren. Le développement de Digitec avec ses cofondateurs a permis au jeune homme de 39 ans de s’enrichir. La r,f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
83,80,Christian Hirsig,male,38 ans,"Fondateur de Powercoders, Berne","Il a commencé à La Poste Suisse et développé le timbre personnalisable à imprimer, le webstamp. Mais c’était aussi la fin de la vie de Christian Hirsch dans le monde du corporate. A 38 ans, il fondait",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
19,32,Caroline Hirt,female,40 ans,"Fondatrice et directrice du Museum of Digital Art, Zurich",La créativité et la technologie se transforment en art au Museum of Digital Art: le premier musée physique et virtuel européen dédié à l’art numérique a ouvert ses portes en 2016. Les artistes sont ég,f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
1,29,Klaus Hommels,male,51 ans,"Fondateur Lakestar, Zurich",Il fait tourner la plus grande société helvétique de capital-risque: le Suisse d’adoption Klaus Hommels met actuellement en place un fonds d’une valeur de 800 millions d’euros. Il deviendra de loin le,f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
25,15,Urs Hölzle,male,55 ans,"Ingénieur SVP, Google, Mountain View (Etats-Unis)","Dans les technologies informatiques, aucun Suisse n’a autant d’expérience qu’Urs Hölzle. Comme responsable technique, il est maître de toute l’infrastructure technique de Google et ses 20 centres de d",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
66,63,Frederic Jacobs,male,27 ans,"Security Engineer, Apple, Cupertino (Californie)","Ils voulaient programmer une application de chat simple et sûre. Frederic Jacobs, qui faisait partie des principaux développeurs de Signal, ne s’attendait certes pas à commercialiser l’application pré",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
55,51,Gilles Jobin,male,54 ans,"Chorégraphe de la Cie Gilles Jobin, Genève","Plus de 20 pièces en plus de vingt ans, un nombre considérable d’œuvres pour un chorégraphe. Certes, Gilles Jobin est productif, il conçoit des chorégraphies contemporaines, est réalisateur de films e",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
31,23,Frédéric Kaplan,male,44 ans,"Professeur d’humanités digitales, EPFL Lausanne","Qu’est-ce que la bureaucratie vénitienne du Moyen Age a en commun avec la numérisation? Les données! L’administration de la ville ayant enregistré tous les mouvements depuis des siècles, l’ère de la d",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
43,38,Pascal Kaufmann,male,40 ans,"Cofondateur et CEO de Starmind International, Küsnacht (ZH)",Le projet de recherche de l’EPFZ mis sur pied en 2010 par le chercheur sur le cerveau Pascal Kaufmann et son camarade Marc Vontobel est devenu l’une des start-up suisses les plus prometteuses: Starmin,f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
13,7,André Kudelski,male,57 ans,"Chef et copropriétaire du groupe Kudelski, Cheseaux (VD) et Phoenix (Arizona)","Patron de l’entreprise, André Kudelski s’est reconverti plus d’une fois: après avoir remplacé le magnétophone Nagra par des décodeurs, il veut désormais remplacer l’activité TV encore rentable mais dé",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
76,73,Cédric Köhler,male,39 ans,"Managing Partner Creathor, Zurich et Bad Homburg (D)","Tout le monde ne peut pas prétendre avoir financé 220 start-up. Cédric Köhler le peut avec sa société Creathor: en quinze ans d’existence, elle a pu fêter des sorties d’une valeur de 7 milliards de do",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
56,52,Sophie Lamparter,female,41 ans,"Cofondatrice de Dart 17, San Francisco",La place de travail de Sophie Lamparter à San Francisco est l’une des plus belles du monde: cette femme de 41 ans réseaute directement sur l’eau avec vue sur la baie de San Francisco et l’île au tréso,f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
14,8,Moritz Lechner,male,49 ans,"Fondateur et coprésident du conseil d’administration de Sensirion, Stäfa (ZH)","En mars, l’entrée en bourse a été un succès complet: Sensirion a été bien accueillie par les investisseurs. Pas étonnant puisque l’entreprise de Stäfa, qui emploie 735 personnes et réalise un chiffre ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
60,57,Adrian Locher,male,36 ans,"Fondateur DeinDeal, cofondateur Merantix, Berlin et Zurich","«Enfant, j’aimais déjà assembler plein de choses. D’abord en bois, puis en éléments électroniques. Et finalement j’ai développé des logiciels», se rappelle Adrian Locher. Ce diplômé de l’Université de",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
77,74,Ariel Lüdi,male,59 ans,"Fondateur de Hammer Team, Cham (ZG)","Dans les années 2000, Ariel Lüdi a fait du fournisseur de logiciels Hybris le leader mondial des solutions de commerce électronique, et ainsi jeté les bases de son patrimoine de plusieurs centaines de",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
85,83,Christophe Maire,male,52 ans,"Fondateur et CEO d’Atlantic Labs, Berlin","Berlin est l’endroit idéal pour Christophe Maire. C’est la métropole européenne qui voit naître le plus grand nombre de start-up, avec les idées d’affaires les plus audacieuses. C’est l’environnement ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
58,55,David Marcus,male,45 ans,"Vice-président Blockchain, Facebook, Menlo Park (Californie)","Dans sa nouvelle fonction aussi, David Marcus demeure un des Suisses les plus importants de la Silicon Valley. Depuis mai, il est responsable de toutes les activités blockchain chez Facebook après avo",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
84,81,Marta Martinez-Camara,female,32 ans,"Cofondatrice et CEO de Girlscoding.org, Lausanne","Avec son projet Girlscoding, Marta Martinez-Camara essaie d’intéresser davantage de femmes à l’informatique. En faisant son doctorat à l’EPFL, elle a découvert que les femmes ne sont que 12% à étudier",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
54,5,Pierre Maudet ,male,40 ans,"Président du gouvernement genevois, Genève","En 2017, dans la campagne pour le siège PLR au Conseil fédéral, le conseiller d’Etat genevois Pierre Maudet s’est présenté comme conseiller fédéral 4.0, débattant volontiers et sans crainte de blockch",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
79,76,Lorenz Meier,male,34 ans,"Fondateur PX4, Zurich","Lorenz Meier a passé les dix dernières années à construire la plus grande communauté open source pour les pilotes automatiques. «Avec PX4, nous avons façonné l’industrie des drones à l’échelle interna",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
97,96,Jordi Montserrat,male,48 ans,"Directeur de Venturelab, Lausanne","Il est en quelque sorte le vétéran de la scène locale de la start-up: Jordi Montserrat, fondateur de l’entreprise, coach, investisseur, responsable de programme pour les start-up de l’EPFL. Avec son p",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
15,82,Monique Morrow,female,61 ans,"Cofondatrice et présidente de The Humanized Internet, Zurich","Avec The Humanized Internet, Monique Morrow donne aux gens une identité, ou les aide à la conserver. En période de crise des réfugiés et de traite des êtres humains, son projet est particulièrement pe",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
17,9,Michael Nilles,male,45 ans,"Chief Digital Officer (CDO) de Schindler, Ebikon","Le nom de Michael Nilles est incontournable en Suisse pour les entreprises cherchant à bien gérer le virage numérique. Responsable de la numérisation des processus commerciaux de Schindler, l’informat",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
12,60,David Nüscheler,male,43 ans,"Vice-président Enterprise Technology Adobe, Salt Lake City, Utah","David Nüscheler est un rejeton de la folie des dotcoms de la fin des années 1990: lorsque, en 1998, avec ses trois associés, il fait enregistrer à Bâle le producteur de logiciels Day Interactive au Re",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
21,10,Claudia Pletscher,female,44 ans,"Responsable du développement et de l’innovation de La Poste Suisse, Berne","Les drones de transport d’échantillons de laboratoire à Lugano, à Berne et à Zurich et les petits robots de distribution sur roues sont probablement les deux meilleures cartes de visite du département",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
28,2,Georg Polzer,male,30 ans,"Cofondateur et président de Teralytics, Zurich","Georg Polzer a reconnu très tôt les avantages du big data: en 2012, il fondait Teralytics avec Luciano Franceschina et Donald Kossmann. Cette start-up de 60 personnes évalue les données anonymes sur l",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
44,39,Tobias Reichmuth,male,39 ans,"CEO et fondateur de SUSI Partners SA, Zurich","Tobias Reichmuth est spécialisé dans le financement des futures infrastructures énergétiques. En collaboration avec l’EPFZ et l’Office fédéral de l’énergie (OFEN), sa société de placement SUSI Partner",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
72,69,Sylvie Reinhard,female,37 ans,"VR Republik.ch, fondatrice de crstl.io, Zurich (A VERIFIER)","Certains sont théoriciens, d’autres sont praticiens. Sylvie Reinhard est les deux, et c’est rare. C’est à 25 ans qu’elle a fondé sa première société, la société de sécurité web Dreamlab, puis est deve",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
